Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Ligand detection rate,Ligand average expression value,Ligand derived specificity of average expression value,Receptor detection rate,Receptor average expression value,Receptor derived specificity of average expression value,Edge average expression weight,Edge average expression derived specificity
sCs,Agt,Mas1,ECs,1.0,0.5444336666666666,0.7572383372942318,1.0,0.5952233333333333,0.3251404407432198,0.3240596218522222,0.2462088067355095
sCs,Agt,Mas1,FAPs,1.0,0.5444336666666666,0.7572383372942318,1.0,0.3784606666666667,0.2067339451813148,0.2060467284424445,0.1565468689113757
sCs,Agt,Mas1,sCs,1.0,0.5444336666666666,0.7572383372942318,1.0,0.8302706666666667,0.4535349260997277,0.4520273033791111,0.3434340333446201
sCs,Agt,Agtr1a,ECs,1.0,0.5444336666666666,0.7572383372942318,0.6666666666666666,0.8192526666666667,0.0393573865659436,0.4460287332397778,0.0298029219634415
sCs,Agt,Agtr1a,FAPs,1.0,0.5444336666666666,0.7572383372942318,1.0,9.221609,0.4430115945178313,5.020554400436332,0.335465363234749
sCs,Agt,Agtr1a,sCs,1.0,0.5444336666666666,0.7572383372942318,1.0,10.77486666666667,0.5176310189162251,5.866200167177777,0.3919700520960414
sCs,Agt,Agtr2,FAPs,1.0,0.5444336666666666,0.7572383372942318,1.0,0.9721403333333332,0.4203533802573702,0.5292659261912221,0.318307694742101
sCs,Agt,Agtr2,sCs,1.0,0.5444336666666666,0.7572383372942318,0.6666666666666666,1.340533666666667,0.5796466197426299,0.7298316594334444,0.4389306425521309
ECs,Serping1,Sele,ECs,1.0,7.744420666666667,0.0240205754912429,1.0,8.692291666666668,0.7904374164682153,67.31676322402778,0.0189867616333778
ECs,Serping1,Sele,FAPs,1.0,7.744420666666667,0.0240205754912429,0.6666666666666666,0.125446,0.0114074879155886,0.9715065949506668,0.0002740144246418
ECs,Serping1,Sele,Neutro,1.0,7.744420666666667,0.0240205754912429,1.0,2.040985,0.185597880549381,15.80624641435666,0.0044581679007511
ECs,Serping1,Sele,sCs,1.0,7.744420666666667,0.0240205754912429,0.6666666666666666,0.0440023333333333,0.0040013717915095,0.3407725796482222,9.611525318648442e-05
FAPs,Serping1,Sele,ECs,1.0,215.379898,0.6680356506811497,1.0,8.692291666666668,0.7904374164682153,1872.144892552917,0.5280403738330711
FAPs,Serping1,Sele,FAPs,1.0,215.379898,0.6680356506811497,0.6666666666666666,0.125446,0.0114074879155886,27.018546684508,0.0076206086123276
FAPs,Serping1,Sele,Neutro,1.0,215.379898,0.6680356506811497,1.0,2.040985,0.185597880549381,439.5871411195299,0.123986000897848
FAPs,Serping1,Sele,sCs,1.0,215.379898,0.6680356506811497,0.6666666666666666,0.0440023333333333,0.0040013717915095,9.477218065095332,0.0026730590083582
