Sending cluster name,Target cluster name,Total expression,Total specificity,Edge count,Average expression,Average specificity
Neutro (3 cells),Neutro (3 cells),8465738.256177522,43.43497462261083,616,13743.08158470377,0.0705113224393033
FAPs (3 cells),Neutro (3 cells),6239194.812440811,54.62410281024589,789,7907.7247305967185,0.06923206946799225
FAPs (3 cells),M2 (3 cells),4008218.382882599,45.892493096277995,788,5086.57155188147,0.05823920443690101
M1 (3 cells),Neutro (3 cells),4006167.4927324373,25.45284163712759,629,6369.105711816275,0.0404655669906639
FAPs (3 cells),M1 (3 cells),3651136.7584211095,38.30425414084754,777,4699.017707105675,0.04929762437689516
M2 (3 cells),Neutro (3 cells),3452228.7086442704,26.881856300314535,645,5352.292571541505,0.04167729658963494
M1 (3 cells),M2 (3 cells),3150624.6254590466,23.814760975974753,638,4938.283112004775,0.03732721156108895
Neutro (3 cells),M2 (3 cells),3109500.4335668385,29.413738271540158,616,5047.89031423188,0.04774957511613662
Neutro (3 cells),M1 (3 cells),2929668.891340841,25.155397297359162,609,4810.622153269033,0.04130607109582785
M1 (3 cells),M1 (3 cells),2838761.803227043,18.355863728904755,624,4549.297761581799,0.02941644828350121
FAPs (3 cells),FAPs (3 cells),2800077.8704058668,95.76255513840464,868,3225.8961640620587,0.11032552435300073
M2 (3 cells),M2 (3 cells),2734433.1671819743,27.577694078127152,651,4200.3581677142465,0.04236204927515692
M2 (3 cells),M1 (3 cells),2462588.3326154808,19.923696621454464,640,3847.7942697116887,0.031130775971022602
Neutro (3 cells),FAPs (3 cells),2273940.550521362,38.062063327547605,617,3685.4790121902142,0.061688919493594174
M1 (3 cells),FAPs (3 cells),2206542.5132108415,27.39620402786742,637,3463.9599893419804,0.04300816958848888
M2 (3 cells),FAPs (3 cells),1937116.6538989474,27.613427754664045,644,3007.9451147499185,0.04287799340786343
FAPs (3 cells),ECs (3 cells),1936783.8331178501,73.16035884207233,868,2231.317780089689,0.08428612769824001
Neutro (3 cells),ECs (3 cells),1506413.7141594999,22.31238078925544,630,2391.132879618254,0.0354164774432626
FAPs (3 cells),sCs (3 cells),1423243.202884152,80.80002872851523,931,1528.7252447735252,0.08678843042805073
sCs (3 cells),Neutro (3 cells),1289043.2047528396,28.506244345727993,778,1656.867872432956,0.03664041689682261
M1 (3 cells),ECs (3 cells),1141157.6164817458,17.867892376598576,649,1758.3322287854328,0.027531421227424618
sCs (3 cells),M2 (3 cells),1035709.4866257305,27.22150733913981,793,1306.0649263880587,0.03432724759034024
ECs (3 cells),M2 (3 cells),996193.748356994,19.86947400274461,712,1399.1485229733062,0.027906564610596363
M2 (3 cells),ECs (3 cells),989997.5960255223,16.964251941767067,653,1516.0759510344906,0.025978946312047575
ECs (3 cells),Neutro (3 cells),976380.1549731016,22.541682012242646,711,1373.2491631126604,0.031704194110045915
Neutro (3 cells),sCs (3 cells),862349.397385868,24.411171869923194,656,1314.5570082101647,0.037212152240736575
M1 (3 cells),sCs (3 cells),855507.2299534194,20.645522871943516,674,1269.29856076175,0.030631339572616493
sCs (3 cells),M1 (3 cells),829959.4752761122,23.024414798536355,770,1077.8694484105354,0.029901837400696567
ECs (3 cells),M1 (3 cells),713942.152862507,16.90528583549137,698,1022.8397605480044,0.024219607214171015
M2 (3 cells),sCs (3 cells),679516.617532334,21.652001192102514,685,991.9950620909987,0.03160876086438323
sCs (3 cells),FAPs (3 cells),658864.9885619298,61.37833222831189,875,752.9885583564912,0.07014666540378502
ECs (3 cells),FAPs (3 cells),507572.7813500051,41.45454550280342,764,664.3622792539334,0.05425987631256992
ECs (3 cells),ECs (3 cells),462690.3891379658,40.29838745083169,770,600.8966092700855,0.052335568117963235
sCs (3 cells),ECs (3 cells),442501.3347509316,45.19156323564021,867,510.38216234248165,0.052124063708927575
sCs (3 cells),sCs (3 cells),371482.9234833267,69.49813241661879,948,391.85962392755977,0.0733102662622561
ECs (3 cells),sCs (3 cells),285059.64899111993,46.1397283061701,825,345.52684726196355,0.0559269434014183
