"GeneID" "countNormalized"
"ENSMUSG00000000247" "ENSMUSG00000000247" 12.7721523358431
"ENSMUSG00000000817" "ENSMUSG00000000817" 10.9197687521764
"ENSMUSG00000000889" "ENSMUSG00000000889" 20.2423051645939
"ENSMUSG00000001138" "ENSMUSG00000001138" 287.711907060394
"ENSMUSG00000001143" "ENSMUSG00000001143" 125.387431490798
"ENSMUSG00000001305" "ENSMUSG00000001305" 63.6773087839004
"ENSMUSG00000001674" "ENSMUSG00000001674" 221.501027109463
"ENSMUSG00000001855" "ENSMUSG00000001855" 517.359065123818
"ENSMUSG00000002459" "ENSMUSG00000002459" 84.3283874638771
"ENSMUSG00000002546" "ENSMUSG00000002546" 854.887349841995
"ENSMUSG00000002550" "ENSMUSG00000002550" 143.066083339254
"ENSMUSG00000002881" "ENSMUSG00000002881" 573.236997540938
"ENSMUSG00000003135" "ENSMUSG00000003135" 236.771087438653
"ENSMUSG00000003418" "ENSMUSG00000003418" 5.64872682111147
"ENSMUSG00000003458" "ENSMUSG00000003458" 984.301445851397
"ENSMUSG00000003464" "ENSMUSG00000003464" 279.258092822659
"ENSMUSG00000003721" "ENSMUSG00000003721" 321.527967816961
"ENSMUSG00000004031" "ENSMUSG00000004031" 0
"ENSMUSG00000004105" "ENSMUSG00000004105" 2863.15172344348
"ENSMUSG00000004110" "ENSMUSG00000004110" 2.66522013508237
"ENSMUSG00000004364" "ENSMUSG00000004364" 1299.69553665878
"ENSMUSG00000004552" "ENSMUSG00000004552" 0
"ENSMUSG00000004707" "ENSMUSG00000004707" 2.31008322028592
"ENSMUSG00000004709" "ENSMUSG00000004709" 0
"ENSMUSG00000004872" "ENSMUSG00000004872" 0
"ENSMUSG00000004880" "ENSMUSG00000004880" 256.706771151987
"ENSMUSG00000005338" "ENSMUSG00000005338" 364.53136100866
"ENSMUSG00000005339" "ENSMUSG00000005339" 0
"ENSMUSG00000005501" "ENSMUSG00000005501" 545.25207093329
"ENSMUSG00000005674" "ENSMUSG00000005674" 19.1114392791555
"ENSMUSG00000005677" "ENSMUSG00000005677" 6.57163299504615
"ENSMUSG00000005681" "ENSMUSG00000005681" 3.62497667286677
"ENSMUSG00000005763" "ENSMUSG00000005763" 25.8539244049317
"ENSMUSG00000005886" "ENSMUSG00000005886" 1444.88007635764
"ENSMUSG00000006007" "ENSMUSG00000006007" 8.32708942778845
"ENSMUSG00000006010" "ENSMUSG00000006010" 546.34004635274
"ENSMUSG00000006299" "ENSMUSG00000006299" 277.283563859086
"ENSMUSG00000006301" "ENSMUSG00000006301" 494.570933565636
"ENSMUSG00000006412" "ENSMUSG00000006412" 25.0617974637861
"ENSMUSG00000006469" "ENSMUSG00000006469" 12.9343706136897
